step,type,amount,nameOrig,oldbalanceOrg,newbalanceOrig,nameDest,oldbalanceDest,newbalanceDest,isFraud,isFlaggedFraud
122,TRANSFER,51980.0,C100022,0.0,0.0,C200016,0.0,0.0,0,0
123,PAYMENT,659810.0,C100023,0.0,0.0,C200019,0.0,0.0,0,0
124,TRANSFER,735869.0,C100024,0.0,0.0,C200022,0.0,0.0,0,0
125,TRANSFER,401229.0,C100025,0.0,0.0,C200025,0.0,0.0,0,0
126,PAYMENT,57146.0,C100026,0.0,0.0,C200028,0.0,0.0,0,0
127,PAYMENT,614939.0,C100027,0.0,0.0,C200031,0.0,0.0,0,0
128,TRANSFER,222301.0,C100028,0.0,0.0,C200034,0.0,0.0,0,0
129,TRANSFER,579378.0,C100029,0.0,0.0,C200037,0.0,0.0,0,0
130,TRANSFER,339583.0,C100030,0.0,0.0,C200040,0.0,0.0,0,0
131,PAYMENT,573810.0,C100031,0.0,0.0,C200043,0.0,0.0,0,0
132,CASH_OUT,233063.0,C100032,0.0,0.0,C200046,0.0,0.0,0,0
133,PAYMENT,429406.0,C100033,0.0,0.0,C200049,0.0,0.0,0,0
134,PAYMENT,472682.0,C100034,0.0,0.0,C200002,0.0,0.0,0,0
135,CASH_OUT,568280.0,C100035,0.0,0.0,C200005,0.0,0.0,0,0
136,PAYMENT,183647.0,C100036,0.0,0.0,C200008,0.0,0.0,0,0
137,PAYMENT,865883.0,C100037,0.0,0.0,C200011,0.0,0.0,0,0
138,TRANSFER,260935.0,C100038,0.0,0.0,C200014,0.0,0.0,1,0
139,CASH_OUT,276112.0,C100039,0.0,0.0,C200017,0.0,0.0,0,0
140,PAYMENT,231424.0,C100040,0.0,0.0,C200020,0.0,0.0,0,0
141,TRANSFER,61661.0,C100041,0.0,0.0,C200023,0.0,0.0,0,0
142,TRANSFER,381207.0,C100042,0.0,0.0,C200026,0.0,0.0,0,0
143,CASH_OUT,694880.0,C100043,0.0,0.0,C200029,0.0,0.0,0,0
144,TRANSFER,638900.0,C100044,0.0,0.0,C200032,0.0,0.0,0,0
145,CASH_OUT,176819.0,C100045,0.0,0.0,C200035,0.0,0.0,0,0
146,PAYMENT,124101.0,C100046,0.0,0.0,C200038,0.0,0.0,0,0
147,PAYMENT,289963.0,C100047,0.0,0.0,C200041,0.0,0.0,0,0
148,CASH_OUT,691661.0,C100048,0.0,0.0,C200044,0.0,0.0,0,0
149,TRANSFER,439782.0,C100049,0.0,0.0,C200047,0.0,0.0,0,0
150,CASH_OUT,830942.0,C100000,0.0,0.0,C200000,0.0,0.0,0,0
151,PAYMENT,591089.0,C100001,0.0,0.0,C200003,0.0,0.0,0,0
152,TRANSFER,559195.0,C100002,0.0,0.0,C200006,0.0,0.0,0,0
153,CASH_OUT,691154.0,C100003,0.0,0.0,C200009,0.0,0.0,0,0
154,TRANSFER,675482.0,C100004,0.0,0.0,C200012,0.0,0.0,0,0
155,PAYMENT,310110.0,C100005,0.0,0.0,C200015,0.0,0.0,0,0
156,PAYMENT,232050.0,C100006,0.0,0.0,C200018,0.0,0.0,0,0
157,CASH_OUT,394421.0,C100007,0.0,0.0,C200021,0.0,0.0,0,0
158,PAYMENT,440833.0,C100008,0.0,0.0,C200024,0.0,0.0,0,0
159,PAYMENT,128408.0,C100009,0.0,0.0,C200027,0.0,0.0,0,0
160,TRANSFER,397757.0,C100010,0.0,0.0,C200030,0.0,0.0,0,0
161,PAYMENT,576201.0,C100011,0.0,0.0,C200033,0.0,0.0,1,0
162,TRANSFER,123007.0,C100012,0.0,0.0,C200036,0.0,0.0,0,0
163,CASH_OUT,125096.0,C100013,0.0,0.0,C200039,0.0,0.0,0,0
164,TRANSFER,157175.0,C100014,0.0,0.0,C200042,0.0,0.0,0,0
165,CASH_OUT,255714.0,C100015,0.0,0.0,C200045,0.0,0.0,0,0
166,CASH_OUT,865576.0,C100016,0.0,0.0,C200048,0.0,0.0,0,0
167,PAYMENT,24186.0,C100017,0.0,0.0,C200001,0.0,0.0,0,0
168,PAYMENT,166181.0,C100018,0.0,0.0,C200004,0.0,0.0,0,0
169,TRANSFER,149378.0,C100019,0.0,0.0,C200007,0.0,0.0,0,0
170,CASH_OUT,427438.0,C100020,0.0,0.0,C200010,0.0,0.0,0,0
171,CASH_OUT,14550.0,C100021,0.0,0.0,C200013,0.0,0.0,0,0
172,PAYMENT,412897.0,C100022,0.0,0.0,C200016,0.0,0.0,0,0
173,PAYMENT,147467.0,C100023,0.0,0.0,C200019,0.0,0.0,0,0
174,PAYMENT,243406.0,C100024,0.0,0.0,C200022,0.0,0.0,0,0
175,CASH_OUT,713404.0,C100025,0.0,0.0,C200025,0.0,0.0,0,0
176,TRANSFER,166476.0,C100026,0.0,0.0,C200028,0.0,0.0,0,0
177,TRANSFER,555798.0,C100027,0.0,0.0,C200031,0.0,0.0,0,0
178,PAYMENT,366274.0,C100028,0.0,0.0,C200034,0.0,0.0,0,0
179,CASH_OUT,376418.0,C100029,0.0,0.0,C200037,0.0,0.0,0,0
180,TRANSFER,735344.0,C100030,0.0,0.0,C200040,0.0,0.0,0,0
181,CASH_OUT,145662.0,C100031,0.0,0.0,C200043,0.0,0.0,0,0
182,TRANSFER,831505.0,C100032,0.0,0.0,C200046,0.0,0.0,0,0
183,PAYMENT,804248.0,C100033,0.0,0.0,C200049,0.0,0.0,0,0
184,TRANSFER,601821.0,C100034,0.0,0.0,C200002,0.0,0.0,1,0
185,PAYMENT,45453.0,C100035,0.0,0.0,C200005,0.0,0.0,0,0
186,PAYMENT,597314.0,C100036,0.0,0.0,C200008,0.0,0.0,0,0
187,CASH_OUT,540712.0,C100037,0.0,0.0,C200011,0.0,0.0,0,0
188,TRANSFER,695213.0,C100038,0.0,0.0,C200014,0.0,0.0,0,0
189,CASH_OUT,193234.0,C100039,0.0,0.0,C200017,0.0,0.0,0,0
190,PAYMENT,858067.0,C100040,0.0,0.0,C200020,0.0,0.0,0,0
191,PAYMENT,797691.0,C100041,0.0,0.0,C200023,0.0,0.0,0,0
192,PAYMENT,103807.0,C100042,0.0,0.0,C200026,0.0,0.0,0,0
193,PAYMENT,284366.0,C100043,0.0,0.0,C200029,0.0,0.0,0,0
194,PAYMENT,30167.0,C100044,0.0,0.0,C200032,0.0,0.0,0,0
195,CASH_OUT,748021.0,C100045,0.0,0.0,C200035,0.0,0.0,0,0
196,CASH_OUT,823670.0,C100046,0.0,0.0,C200038,0.0,0.0,0,0
197,CASH_OUT,890838.0,C100047,0.0,0.0,C200041,0.0,0.0,0,0
198,TRANSFER,551120.0,C100048,0.0,0.0,C200044,0.0,0.0,0,0
199,CASH_OUT,599721.0,C100049,0.0,0.0,C200047,0.0,0.0,0,0
200,CASH_OUT,610886.0,C100000,0.0,0.0,C200000,0.0,0.0,0,0
201,TRANSFER,513563.0,C100001,0.0,0.0,C200003,0.0,0.0,0,0
202,PAYMENT,857228.0,C100002,0.0,0.0,C200006,0.0,0.0,0,0
203,CASH_OUT,547467.0,C100003,0.0,0.0,C200009,0.0,0.0,0,0
204,CASH_OUT,302817.0,C100004,0.0,0.0,C200012,0.0,0.0,0,0
205,TRANSFER,462076.0,C100005,0.0,0.0,C200015,0.0,0.0,0,0
206,PAYMENT,17777.0,C100006,0.0,0.0,C200018,0.0,0.0,0,0
207,TRANSFER,651989.0,C100007,0.0,0.0,C200021,0.0,0.0,1,0
208,PAYMENT,624835.0,C100008,0.0,0.0,C200024,0.0,0.0,0,0
209,TRANSFER,379524.0,C100009,0.0,0.0,C200027,0.0,0.0,0,0
210,CASH_OUT,766481.0,C100010,0.0,0.0,C200030,0.0,0.0,0,0
211,CASH_OUT,680217.0,C100011,0.0,0.0,C200033,0.0,0.0,0,0
212,PAYMENT,303679.0,C100012,0.0,0.0,C200036,0.0,0.0,0,0
213,TRANSFER,70670.0,C100013,0.0,0.0,C200039,0.0,0.0,0,0
214,TRANSFER,119868.0,C100014,0.0,0.0,C200042,0.0,0.0,0,0
215,TRANSFER,166660.0,C100015,0.0,0.0,C200045,0.0,0.0,0,0
216,PAYMENT,274222.0,C100016,0.0,0.0,C200048,0.0,0.0,0,0
217,CASH_OUT,403316.0,C100017,0.0,0.0,C200001,0.0,0.0,0,0
218,TRANSFER,835268.0,C100018,0.0,0.0,C200004,0.0,0.0,0,0
219,PAYMENT,251297.0,C100019,0.0,0.0,C200007,0.0,0.0,0,0
220,TRANSFER,808828.0,C100020,0.0,0.0,C200010,0.0,0.0,0,0
221,CASH_OUT,612735.0,C100021,0.0,0.0,C200013,0.0,0.0,0,0
222,TRANSFER,768290.0,C100022,0.0,0.0,C200016,0.0,0.0,0,0
223,PAYMENT,363524.0,C100023,0.0,0.0,C200019,0.0,0.0,0,0
224,TRANSFER,3945.0,C100024,0.0,0.0,C200022,0.0,0.0,0,0
225,PAYMENT,708483.0,C100025,0.0,0.0,C200025,0.0,0.0,0,0
226,CASH_OUT,221682.0,C100026,0.0,0.0,C200028,0.0,0.0,0,0
227,PAYMENT,129089.0,C100027,0.0,0.0,C200031,0.0,0.0,0,0
228,PAYMENT,719742.0,C100028,0.0,0.0,C200034,0.0,0.0,0,0
229,PAYMENT,618009.0,C100029,0.0,0.0,C200037,0.0,0.0,0,0
230,CASH_OUT,191961.0,C100030,0.0,0.0,C200040,0.0,0.0,1,0
231,PAYMENT,241556.0,C100031,0.0,0.0,C200043,0.0,0.0,0,0
232,CASH_OUT,845358.0,C100032,0.0,0.0,C200046,0.0,0.0,0,0
233,CASH_OUT,242415.0,C100033,0.0,0.0,C200049,0.0,0.0,0,0
234,CASH_OUT,632462.0,C100034,0.0,0.0,C200002,0.0,0.0,0,0
235,TRANSFER,117468.0,C100035,0.0,0.0,C200005,0.0,0.0,0,0
236,PAYMENT,733717.0,C100036,0.0,0.0,C200008,0.0,0.0,0,0
237,TRANSFER,106713.0,C100037,0.0,0.0,C200011,0.0,0.0,0,0
238,CASH_OUT,464920.0,C100038,0.0,0.0,C200014,0.0,0.0,0,0
239,TRANSFER,32660.0,C100039,0.0,0.0,C200017,0.0,0.0,0,0
