tran_id,orig_acct,bene_acct,tx_type,base_amt,tran_timestamp,is_sar
61,A16,A35,TRANSFER,179506.0,2026-08-06T10:00:00,0
62,A17,A40,TRANSFER,486084.0,2026-08-07T10:00:00,0
63,A18,A0,TRANSFER,220529.0,2026-08-08T10:00:00,0
64,A19,A5,TRANSFER,152139.0,2026-08-09T10:00:00,0
65,A20,A10,TRANSFER,142510.0,2026-08-10T10:00:00,0
66,A21,A15,TRANSFER,566629.0,2026-08-11T10:00:00,0
67,A22,A20,TRANSFER,55137.0,2026-08-12T10:00:00,0
68,A23,A25,TRANSFER,638222.0,2026-08-13T10:00:00,0
69,A24,A30,TRANSFER,375302.0,2026-08-14T10:00:00,0
70,A25,A35,TRANSFER,366016.0,2026-08-15T10:00:00,0
71,A26,A40,TRANSFER,175444.0,2026-08-16T10:00:00,0
72,A27,A0,TRANSFER,288866.0,2026-08-17T10:00:00,0
73,A28,A5,TRANSFER,592322.0,2026-08-18T10:00:00,0
74,A29,A10,TRANSFER,713026.0,2026-08-19T10:00:00,0
75,A30,A15,TRANSFER,738409.0,2026-08-20T10:00:00,0
76,A31,A20,TRANSFER,498855.0,2026-08-21T10:00:00,1
77,A32,A25,TRANSFER,222022.0,2026-08-22T10:00:00,0
78,A33,A30,TRANSFER,66309.0,2026-08-23T10:00:00,0
79,A34,A35,TRANSFER,459937.0,2026-08-24T10:00:00,0
80,A35,A40,TRANSFER,443936.0,2026-08-25T10:00:00,0
81,A36,A0,TRANSFER,407846.0,2026-08-26T10:00:00,0
82,A37,A5,TRANSFER,423100.0,2026-08-27T10:00:00,0
83,A38,A10,TRANSFER,64711.0,2026-08-28T10:00:00,0
84,A39,A15,TRANSFER,317790.0,2026-08-01T10:00:00,0
85,A40,A20,TRANSFER,104275.0,2026-08-02T10:00:00,0
86,A41,A25,TRANSFER,684878.0,2026-08-03T10:00:00,0
87,A42,A30,TRANSFER,708399.0,2026-08-04T10:00:00,0
88,A43,A35,TRANSFER,659769.0,2026-08-05T10:00:00,0
89,A44,A40,TRANSFER,381950.0,2026-08-06T10:00:00,0
90,A0,A0,TRANSFER,642533.0,2026-08-07T10:00:00,0
91,A1,A5,TRANSFER,644664.0,2026-08-08T10:00:00,0
92,A2,A10,TRANSFER,281908.0,2026-08-09T10:00:00,0
93,A3,A15,TRANSFER,57931.0,2026-08-10T10:00:00,0
94,A4,A20,TRANSFER,675492.0,2026-08-11T10:00:00,0
95,A5,A25,TRANSFER,477876.0,2026-08-12T10:00:00,1
96,A6,A30,TRANSFER,361613.0,2026-08-13T10:00:00,0
97,A7,A35,TRANSFER,692923.0,2026-08-14T10:00:00,0
98,A8,A40,TRANSFER,760937.0,2026-08-15T10:00:00,0
99,A9,A0,TRANSFER,694317.0,2026-08-16T10:00:00,0
100,A10,A5,TRANSFER,14915.0,2026-08-17T10:00:00,0
101,A11,A10,TRANSFER,9549.0,2026-08-18T10:00:00,0
102,A12,A15,TRANSFER,393597.0,2026-08-19T10:00:00,0
103,A13,A20,TRANSFER,419767.0,2026-08-20T10:00:00,0
104,A14,A25,TRANSFER,190889.0,2026-08-21T10:00:00,0
105,A15,A30,TRANSFER,298358.0,2026-08-22T10:00:00,0
106,A16,A35,TRANSFER,454887.0,2026-08-23T10:00:00,0
107,A17,A40,TRANSFER,609233.0,2026-08-24T10:00:00,0
108,A18,A0,TRANSFER,606803.0,2026-08-25T10:00:00,0
109,A19,A5,TRANSFER,63209.0,2026-08-26T10:00:00,0
110,A20,A10,TRANSFER,309529.0,2026-08-27T10:00:00,0
111,A21,A15,TRANSFER,215616.0,2026-08-28T10:00:00,0
112,A22,A20,TRANSFER,234803.0,2026-08-01T10:00:00,0
113,A23,A25,TRANSFER,651051.0,2026-08-02T10:00:00,0
114,A24,A30,TRANSFER,346075.0,2026-08-03T10:00:00,1
115,A25,A35,TRANSFER,378297.0,2026-08-04T10:00:00,0
116,A26,A40,TRANSFER,783122.0,2026-08-05T10:00:00,0
117,A27,A0,TRANSFER,365254.0,2026-08-06T10:00:00,0
118,A28,A5,TRANSFER,602550.0,2026-08-07T10:00:00,0
119,A29,A10,TRANSFER,775004.0,2026-08-08T10:00:00,0
120,A30,A15,TRANSFER,781076.0,2026-08-09T10:00:00,0
121,A31,A20,TRANSFER,259313.0,2026-08-10T10:00:00,0
122,A32,A25,TRANSFER,325907.0,2026-08-11T10:00:00,0
123,A33,A30,TRANSFER,38169.0,2026-08-12T10:00:00,0
124,A34,A35,TRANSFER,599832.0,2026-08-13T10:00:00,0
125,A35,A40,TRANSFER,316799.0,2026-08-14T10:00:00,0
126,A36,A0,TRANSFER,15022.0,2026-08-15T10:00:00,0
127,A37,A5,TRANSFER,126931.0,2026-08-16T10:00:00,0
128,A38,A10,TRANSFER,146338.0,2026-08-17T10:00:00,0
129,A39,A15,TRANSFER,70104.0,2026-08-18T10:00:00,0
130,A40,A20,TRANSFER,60820.0,2026-08-19T10:00:00,0
131,A41,A25,TRANSFER,456448.0,2026-08-20T10:00:00,0
132,A42,A30,TRANSFER,190936.0,2026-08-21T10:00:00,0
133,A43,A35,TRANSFER,763092.0,2026-08-22T10:00:00,1
134,A44,A40,TRANSFER,459531.0,2026-08-23T10:00:00,0
135,A0,A0,TRANSFER,465629.0,2026-08-24T10:00:00,0
136,A1,A5,TRANSFER,421541.0,2026-08-25T10:00:00,0
137,A2,A10,TRANSFER,519456.0,2026-08-26T10:00:00,0
138,A3,A15,TRANSFER,626823.0,2026-08-27T10:00:00,0
139,A4,A20,TRANSFER,262284.0,2026-08-28T10:00:00,0
140,A5,A25,TRANSFER,492829.0,2026-08-01T10:00:00,0
141,A6,A30,TRANSFER,459042.0,2026-08-02T10:00:00,0
142,A7,A35,TRANSFER,550161.0,2026-08-03T10:00:00,0
143,A8,A40,TRANSFER,603034.0,2026-08-04T10:00:00,0
144,A9,A0,TRANSFER,612421.0,2026-08-05T10:00:00,0
145,A10,A5,TRANSFER,473481.0,2026-08-06T10:00:00,0
146,A11,A10,TRANSFER,61695.0,2026-08-07T10:00:00,0
147,A12,A15,TRANSFER,643208.0,2026-08-08T10:00:00,0
148,A13,A20,TRANSFER,774886.0,2026-08-09T10:00:00,0
149,A14,A25,TRANSFER,442624.0,2026-08-10T10:00:00,0
150,A15,A30,TRANSFER,354685.0,2026-08-11T10:00:00,0
151,A16,A35,TRANSFER,162524.0,2026-08-12T10:00:00,0
152,A17,A40,TRANSFER,369923.0,2026-08-13T10:00:00,1
153,A18,A0,TRANSFER,468267.0,2026-08-14T10:00:00,0
154,A19,A5,TRANSFER,621193.0,2026-08-15T10:00:00,0
155,A20,A10,TRANSFER,395293.0,2026-08-16T10:00:00,0
156,A21,A15,TRANSFER,149284.0,2026-08-17T10:00:00,0
157,A22,A20,TRANSFER,136918.0,2026-08-18T10:00:00,0
158,A23,A25,TRANSFER,429738.0,2026-08-19T10:00:00,0
159,A24,A30,TRANSFER,497236.0,2026-08-20T10:00:00,0
160,A25,A35,TRANSFER,706667.0,2026-08-21T10:00:00,0
161,A26,A40,TRANSFER,654483.0,2026-08-22T10:00:00,0
162,A27,A0,TRANSFER,465447.0,2026-08-23T10:00:00,0
163,A28,A5,TRANSFER,112394.0,2026-08-24T10:00:00,0
164,A29,A10,TRANSFER,661491.0,2026-08-25T10:00:00,0
165,A30,A15,TRANSFER,438231.0,2026-08-26T10:00:00,0
166,A31,A20,TRANSFER,675272.0,2026-08-27T10:00:00,0
167,A32,A25,TRANSFER,588281.0,2026-08-28T10:00:00,0
168,A33,A30,TRANSFER,256628.0,2026-08-01T10:00:00,0
169,A34,A35,TRANSFER,325398.0,2026-08-02T10:00:00,0
170,A35,A40,TRANSFER,332663.0,2026-08-03T10:00:00,0
171,A36,A0,TRANSFER,219686.0,2026-08-04T10:00:00,1
172,A37,A5,TRANSFER,616810.0,2026-08-05T10:00:00,0
173,A38,A10,TRANSFER,300962.0,2026-08-06T10:00:00,0
174,A39,A15,TRANSFER,559135.0,2026-08-07T10:00:00,0
175,A40,A20,TRANSFER,435650.0,2026-08-08T10:00:00,0
176,A41,A25,TRANSFER,329896.0,2026-08-09T10:00:00,0
177,A42,A30,TRANSFER,550894.0,2026-08-10T10:00:00,0
178,A43,A35,TRANSFER,143780.0,2026-08-11T10:00:00,0
179,A44,A40,TRANSFER,449544.0,2026-08-12T10:00:00,0
180,A0,A0,TRANSFER,121678.0,2026-08-13T10:00:00,0
181,A1,A5,TRANSFER,90084.0,2026-08-14T10:00:00,0
182,A2,A10,TRANSFER,664585.0,2026-08-15T10:00:00,0
183,A3,A15,TRANSFER,655219.0,2026-08-16T10:00:00,0
184,A4,A20,TRANSFER,541298.0,2026-08-17T10:00:00,0
185,A5,A25,TRANSFER,739468.0,2026-08-18T10:00:00,0
186,A6,A30,TRANSFER,487173.0,2026-08-19T10:00:00,0
187,A7,A35,TRANSFER,85527.0,2026-08-20T10:00:00,0
188,A8,A40,TRANSFER,310300.0,2026-08-21T10:00:00,0
189,A9,A0,TRANSFER,203367.0,2026-08-22T10:00:00,0
190,A10,A5,TRANSFER,578587.0,2026-08-23T10:00:00,1
191,A11,A10,TRANSFER,143076.0,2026-08-24T10:00:00,0
192,A12,A15,TRANSFER,484970.0,2026-08-25T10:00:00,0
193,A13,A20,TRANSFER,680078.0,2026-08-26T10:00:00,0
194,A14,A25,TRANSFER,150673.0,2026-08-27T10:00:00,0
195,A15,A30,TRANSFER,728671.0,2026-08-28T10:00:00,0
196,A16,A35,TRANSFER,564606.0,2026-08-01T10:00:00,0
197,A17,A40,TRANSFER,40197.0,2026-08-02T10:00:00,0
198,A18,A0,TRANSFER,429180.0,2026-08-03T10:00:00,0
199,A19,A5,TRANSFER,269273.0,2026-08-04T10:00:00,0
200,A20,A10,TRANSFER,560857.0,2026-08-05T10:00:00,0
201,A21,A15,TRANSFER,158033.0,2026-08-06T10:00:00,0
202,A22,A20,TRANSFER,396175.0,2026-08-07T10:00:00,0
203,A23,A25,TRANSFER,378278.0,2026-08-08T10:00:00,0
204,A24,A30,TRANSFER,401164.0,2026-08-09T10:00:00,0
205,A25,A35,TRANSFER,737664.0,2026-08-10T10:00:00,0
206,A26,A40,TRANSFER,754139.0,2026-08-11T10:00:00,0
207,A27,A0,TRANSFER,60787.0,2026-08-12T10:00:00,0
208,A28,A5,TRANSFER,630366.0,2026-08-13T10:00:00,0
209,A29,A10,TRANSFER,141166.0,2026-08-14T10:00:00,1
210,A30,A15,TRANSFER,129710.0,2026-08-15T10:00:00,0
211,A31,A20,TRANSFER,392188.0,2026-08-16T10:00:00,0
212,A32,A25,TRANSFER,780606.0,2026-08-17T10:00:00,0
213,A33,A30,TRANSFER,421607.0,2026-08-18T10:00:00,0
214,A34,A35,TRANSFER,470963.0,2026-08-19T10:00:00,0
215,A35,A40,TRANSFER,597673.0,2026-08-20T10:00:00,0
216,A36,A0,TRANSFER,384558.0,2026-08-21T10:00:00,0
217,A37,A5,TRANSFER,352960.0,2026-08-22T10:00:00,0
218,A38,A10,TRANSFER,558688.0,2026-08-23T10:00:00,0
219,A39,A15,TRANSFER,117203.0,2026-08-24T10:00:00,0
